Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Food & Beverages,Inflight Entertainment,Distance,Is_stop,Seat Type,Type Of Traveller,Flight Length,Recommended
4.0,5.0,5.0,4.0,5.0,,2395.0466154319115,0,Economy Class,Business,Middle-Haul,1.0
2.0,2.0,2.0,4.0,1.0,1.0,158.20180703061766,1,Economy Class,Couple Leisure,Short-Haul,0.0
2.0,5.0,4.0,2.0,2.0,,1282.6070152243535,0,Economy Class,Business,Middle-Haul,1.0
5.0,5.0,5.0,5.0,4.0,3.0,2634.0208138572348,1,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,4.0,4.0,1618.7642295335904,0,Business Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,,524.5493857167571,0,Economy Class,Solo Leisure,Short-Haul,1.0
4.0,5.0,4.0,4.0,4.0,,910.3540322613868,0,Economy Class,Solo Leisure,Short-Haul,1.0
2.0,2.0,1.0,1.0,1.0,,1497.0725379270978,0,Economy Class,Solo Leisure,Middle-Haul,0.0
5.0,5.0,5.0,5.0,5.0,4.0,575.0627079124052,1,Business Class,Couple Leisure,Short-Haul,1.0
1.0,1.0,1.0,1.0,,,1053.4726048757093,0,Economy Class,Family Leisure,Middle-Haul,0.0
3.0,4.0,3.0,3.0,3.0,,1497.0725379270978,0,Business Class,Couple Leisure,Middle-Haul,1.0
4.0,5.0,5.0,5.0,5.0,3.0,2395.0466154319115,0,Economy Class,Couple Leisure,Middle-Haul,1.0
2.0,2.0,1.0,1.0,,,2627.728068989447,1,Economy Class,Couple Leisure,Middle-Haul,0.0
4.0,1.0,4.0,4.0,1.0,,319.2158356372218,0,Economy Class,Family Leisure,Short-Haul,0.0
4.0,5.0,4.0,4.0,5.0,4.0,763.1641266827168,0,Economy Class,Solo Leisure,Short-Haul,1.0
1.0,5.0,3.0,2.0,3.0,,1618.7642295335904,0,Economy Class,Couple Leisure,Middle-Haul,0.0
3.0,5.0,5.0,5.0,3.0,,791.4815302652127,0,Economy Class,Couple Leisure,Short-Haul,1.0
5.0,5.0,5.0,5.0,5.0,5.0,259.3347346692892,0,Economy Class,Solo Leisure,Short-Haul,1.0
