,Aircraft with seatmap,Seat Pitch,Seat Width,Seat Type,Video Type,Laptop Power,Power Type,Wi-Fi,Class,Company
1527,Airbus A350-900 Layout 1 (359),34,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Hong Kong Airlines
1528,Airbus A350-900 Layout 2 (35A),31-34,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Hong Kong Airlines
1529,Airbus A330-200 (332) Layout 1,60,21.0,Angle Lie Flat,Seatback TV,All Seats,AC Power,No,Business class,Hong Kong Airlines
1530,Airbus A330-200 (33T) Layout 3,71,20.5,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Hong Kong Airlines
1531,Airbus A330-200 (33V) Layout 2,41-45,21.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Hong Kong Airlines
1532,Airbus A330-300 (333) Layout 2,54,21.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Hong Kong Airlines
1533,Airbus A330-300 (33S) Layout 1,60,21.0,Angle Lie Flat,Seatback TV,All Seats,AC Power,No,Business class,Hong Kong Airlines
1534,Airbus A350-900 Layout 1 (359),44,42.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Hong Kong Airlines
1535,Airbus A350-900 Layout 2 (35A),44,23.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Hong Kong Airlines
1536,Airbus A320-200 (32H) Layout 2,31-34,18.0,Standard,None,None,None,No,Economy class,Hong Kong Airlines
1537,Airbus A320-200 (32S) Layout 1,31-34,18.0,Standard,Overhead TV,None,None,No,Economy class,Hong Kong Airlines
1538,Airbus A320-200 (32H) Layout 2,45,20.0,Recliner,Seatback TV,All Seats,AC Power,No,Business class,Hong Kong Airlines
1539,Airbus A330-200 (332),31,18.1,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Iberia
1540,Airbus A330-300 (333) Layout 1,31,18.1,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Iberia
1541,Airbus A330-300 (333) Layout 2,31,18.1,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Iberia
1542,Airbus A340-600 (346) Layout 1,31,18.1,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Iberia
1543,Airbus A340-600 (346) Layout 2,31,18.0,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Iberia
1544,Airbus A350-900 (359),31,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Iberia
1545,Airbus A350-900 (359),37,19.0,Recliner,On-Demand TV,All Seats,AC Power,No,Economy class,Iberia
1546,LEVEL - Airbus A330-200 (332),30-34,18.0,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Iberia
1547,Airbus A330-300 (333) Layout 2,37,18.1,Recliner,Seatback TV,All Seats,AC Power,No,Premium Economy,Iberia
1548,Airbus A340-600 (346) Layout 2,37,19.0,Recliner,Seatback TV,All Seats,AC Power,No,Premium Economy,Iberia
1549,LEVEL - Airbus A330-200 (332),37,20.0,Recliner,Seatback TV,All Seats,AC Power,No,Premium Economy,Iberia
1550,Airbus A330-200 (332),78,26.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Iberia
1551,Airbus A330-300 (333) Layout 1,78,26.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Iberia
1552,Airbus A330-300 (333) Layout 2,78,26.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Iberia
1553,Airbus A340-600 (346) Layout 1,78,26.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Iberia
1554,Airbus A340-600 (346) Layout 2,78,26.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Iberia
1555,Airbus A350-900 (359),78,26.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Iberia
1556,Airbus A319 (319) Layout 1,28,17.0,Standard,None,None,None,No,Economy class,Iberia
1557,Airbus A319 (319) Layout 2,28-30,17.0,Standard,None,None,None,No,Economy class,Iberia
1558,Airbus A320 (320),28,17.0,Standard,None,None,None,No,Economy class,Iberia
1559,Airbus A320 (320) Express,28,17.0,Standard,None,All Seats,AC Power,No,Economy class,Iberia
1560,Airbus A321 (321) Layout 1,28-30,17.0,Standard,None,None,None,No,Economy class,Iberia
1561,Airbus A321 (321) Layout 2,30-31,17.0,Standard,None,None,None,No,Economy class,Iberia
1562,Airbus A321 (321) Layout 2,28-30,17.0,Standard,None,None,None,No,Economy class,Iberia
1563,LEVEL - Airbus A321-200 (321),30-34,18.0,Standard,None,None,None,No,Economy class,Iberia
1564,Airbus A319 (319) Layout 1,31,17.0,Standard,None,None,None,No,Business class,Iberia
1565,Airbus A319 (319) Layout 2,31,17.0,Standard,None,None,None,No,Business class,Iberia
1566,Airbus A320 (320),31,17.0,Standard,None,None,None,No,Business class,Iberia
1567,Airbus A320 (320) Express,30,17.0,Standard,None,All Seats,AC Power,No,Business class,Iberia
1568,Airbus A321 (321) Layout 1,31,17.0,Standard,None,None,None,No,Business class,Iberia
1569,Bombardier CRJ-1000,31,17.0,Standard,None,None,None,No,Economy class,Iberia
1570,Bombardier CRJ-200,31,17.0,Standard,None,None,None,No,Economy class,Iberia
1571,Bombardier CRJ-900,31,17.0,Standard,None,None,None,No,Economy class,Iberia
1572,ATR-72,30,17.0,Standard,None,None,None,No,Economy class,Iberia
1573,Boeing 767-300ER (76W),31-33,17.6,Standard,On-Demand TV,None,None,No,Economy class,Icelandair
1574,Boeing 767-300ER (76W),40,20.5,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Icelandair
1575,Boeing 737 MAX 8 (7M8),32,17.0,Standard,On-Demand TV,None,None,No,Economy class,Icelandair
1576,Boeing 757-200 (752) Layout 1,33,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Icelandair
1577,Boeing 757-200 (752) Layout 2,33,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Icelandair
1578,Boeing 757-300 (753),32,17.2,Standard,On-Demand TV,None,None,No,Economy class,Icelandair
1579,Boeing 737 MAX 8 (7M8),40,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Icelandair
1580,Boeing 757-200 (752) Layout 1,40,20.5,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Icelandair
1581,Boeing 757-200 (752) Layout 2,40,20.5,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Icelandair
1582,Boeing 757-300 (753),40,20.5,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Icelandair
1583,Airbus A320ceo (320) Layout 1,30,18,Standard,None,None,None,No,Economy class,IndiGo
1584,Airbus A320neo (320) Layout 2,30,18,Standard,None,None,None,No,Economy class,IndiGo
1585,Airbus A321neo (321),30,18,Standard,None,None,None,No,Economy class,IndiGo
1586,ATR 72-600 (AT7),30,18,Standard,None,None,None,No,Economy class,IndiGo
1587,Airbus A320 (320),34,17.0,Standard,None,None,None,No,Economy class,Interjet
1588,Airbus A321neo (321),34,18.0,Standard,Overhead TV,None,None,No,Economy class,Interjet
1589,Sukhoi Superjet 100-95 (SU9),34,17.0,Standard,None,None,None,No,Economy class,Interjet
1590,Airbus A350-900 (359),31,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Japan Airlines
1591,Boeing 767-300 (763) Domestic,31,17.3,Standard,None,None,None,No,Economy class,Japan Airlines
1592,Boeing 767-300 (763) Intl,34,18.5,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1593,Boeing 767-300ER (76W) Layout 1,34,18.5,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1594,Boeing 767-300ER (76W) Layout 2,34,18.5,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1595,Boeing 767-300ER (76W) Layout 3,31,17.3,Standard,Seatback TV,None,None,No,Economy class,Japan Airlines
1596,Boeing 767-300ER (76W) Layout 4,34,19.0,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Japan Airlines
1597,Boeing 767-300ER (76W) Layout 5,31,17.3,Standard,None,None,None,No,Economy class,Japan Airlines
1598,Boeing 777-200 (772),31,17.3,Standard,Overhead TV,None,None,No,Economy class,Japan Airlines
1599,Boeing 777-200ER (772) Layout 1,31,17.5,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1600,Boeing 777-200ER (772) Layout 2,31,17.5,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1601,Boeing 777-200ER (772) Layout 3,31,17.5,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1602,Boeing 777-200ER (772) Layout 4,33,18.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Japan Airlines
1603,Boeing 777-300 (773),31,17.3,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1604,Boeing 777-300ER (773),34,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Japan Airlines
1605,Boeing 787-8 (788) Layout 1,31,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Japan Airlines
1606,Boeing 787-8 (788) Layout 2,33,18.9,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Japan Airlines
1607,Boeing 787-8 (788) Layout 3,33,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Japan Airlines
1608,Boeing 787-9 (789) Layout 1,33,18.9,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Japan Airlines
1609,Boeing 787-9 (789) Layout 2,32-33,18.0,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Japan Airlines
1610,Boeing 787-9 (789) Layout 3,32-33,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Japan Airlines
1611,Boeing 777-200ER (772) Layout 1,38,18.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Japan Airlines
1612,Boeing 777-200ER (772) Layout 4,42,18.8,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Japan Airlines
1613,Boeing 777-300ER (773),42,19.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Japan Airlines
1614,Boeing 787-8 (788) Layout 2,42,19.2,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Japan Airlines
1615,Boeing 787-9 (789) Layout 1,42,19.2,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Japan Airlines
1616,Boeing 787-9 (789) Layout 2,42,19.3,Recliner,Seatback TV,All Seats,AC Power,No,Premium Economy,Japan Airlines
1617,Boeing 787-9 (789) Layout 3,42,19.3,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Japan Airlines
1618,Airbus A350-900 (359),38,18.8,Recliner,Overhead TV,All Seats,AC Power,No,Business class,Japan Airlines
1619,Airbus A350-900 (359),53,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1620,Boeing 767-300 (763) Domestic,38,18.5,Recliner,None,All Seats,AC Power,No,Business class,Japan Airlines
1621,Boeing 767-300 (763) Intl,47,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1622,Boeing 767-300ER (76W) Layout 1,47,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1623,Boeing 767-300ER (76W) Layout 2,47,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1624,Boeing 767-300ER (76W) Layout 3,38,18.5,Recliner,Seatback TV,All Seats,AC Power,No,Business class,Japan Airlines
1625,Boeing 767-300ER (76W) Layout 4,74,25.5,Open Suite,Seatback TV,All Seats,AC Power,No,Business class,Japan Airlines
1626,Boeing 767-300ER (76W) Layout 5,38,18.5,Recliner,None,None,None,No,Business class,Japan Airlines
1627,Boeing 767-300ER (76W) Layout 5,51,21.0,Recliner,None,None,None,No,Business class,Japan Airlines
1628,Boeing 777-200 (772),38,18.5,Recliner,Overhead TV,All Seats,AC Power,No,Business class,Japan Airlines
1629,Boeing 777-200ER (772) Layout 1,60,22.3,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1630,Boeing 777-200ER (772) Layout 2,60,22.3,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1631,Boeing 777-200ER (772) Layout 3,47,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1632,Boeing 777-200ER (772) Layout 4,77,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1633,Boeing 777-300 (773),38,18.5,Recliner,On-Demand TV,None,None,No,Business class,Japan Airlines
1634,Boeing 777-300ER (773),74,25.5,Open Suite,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1635,Boeing 787-8 (788) Layout 1,60,22.3,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1636,Boeing 787-8 (788) Layout 2,74,25.5,Open Suite,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1637,Boeing 787-8 (788) Layout 3,74,25.5,Open Suite,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1638,Boeing 787-9 (789) Layout 1,74,25.5,Open Suite,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1639,Boeing 787-9 (789) Layout 2,78,20.1,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Japan Airlines
1640,Boeing 787-9 (789) Layout 3,78,20.1,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1641,Boeing 777-200 (772),51.0,21.0,Recliner,Overhead TV,All Seats,AC Power,No,First class,Japan Airlines
1642,Boeing 777-300ER (773),78.5,33.0,Open Suite,On-Demand TV,All Seats,AC Power,No,First class,Japan Airlines
1643,Boeing 737-400 (734) One Class,31.0,17.3,Standard,None,None,None,No,Economy class,Japan Airlines
1644,Boeing 737-400 (734) Two Class,31.0,17.3,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1645,Boeing 737-800 (738) Domestic,31.0,17.3,Standard,None,None,None,No,Economy class,Japan Airlines
1646,Boeing 737-800 (738) Intl,34.0,18.5,Standard,On-Demand TV,None,None,No,Economy class,Japan Airlines
1647,Embraer E-170,31.0,17.5-18.5,Standard,None,None,None,No,Economy class,Japan Airlines
1648,Embraer E-190 (E90),31.1,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Japan Airlines
1649,Boeing 737-400 (734) Two Class,38.0,18.5,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1650,Boeing 737-800 (738) Domestic,38.0,18.5,Recliner,None,All Seats,AC Power,No,Business class,Japan Airlines
1651,Boeing 737-800 (738) Intl,47.0,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1652,Embraer E-190 (E90),38.2,20.5,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Japan Airlines
1653,Bombardier CRJ-200,30-31,17.5-18.5,Standard,None,None,None,No,Economy class,Japan Airlines
1654,Bombardier Q100,30-31,17.5-18.5,Standard,None,None,None,No,Economy class,Japan Airlines
1655,Bombardier Q300,30-31,17.5-18.5,Standard,None,None,None,No,Economy class,Japan Airlines
1656,Bombardier Q400,30-31,17.5-18.5,Standard,None,None,None,No,Economy class,Japan Airlines
1657,Saab 340B,30-31,17.5-18.5,Standard,None,None,None,No,Economy class,Japan Airlines
1658,Boeing 737-800 (738) Layout 1,29-31,17,Standard,None,None,None,No,Economy class,Jeju Air
1659,Boeing 737-800 (738) Layout 2,29-31,17,Standard,None,None,None,No,Economy class,Jeju Air
1660,Boeing 737-800 (738) Layout 3,29-31,17,Standard,None,None,None,No,Economy class,Jeju Air
1661,Boeing 737-800 (738) Layout 3,42,18,Recliner,None,All Seats,AC Power,No,Economy class,Jeju Air
1662,Airbus A330-200,31,18.2,Standard,None,None,None,No,Economy class,Jet2com
1663,Airbus A321 (321) Layout 1,28-30,17.6,Standard,Overhead TV,None,None,No,Economy class,Jet2com
1664,Airbus A321 (321) Layout 2,28-30,17.6,Standard,Overhead TV,None,None,No,Economy class,Jet2com
1665,Boeing 737-300 (733),31,17,Standard,None,None,None,No,Economy class,Jet2com
1666,Boeing 737-800 (738),30,17,Standard,None,None,None,No,Economy class,Jet2com
1667,Boeing 757-200 (752),30-31,16.2 - 17.2,Standard,None,None,None,No,Economy class,Jet2com
1668,Airbus A320 (320) Layout 1,34,17.8,Standard,On-Demand TV,None,None,No,Economy class,JetBlue Airways
1669,Airbus A320 (320) Layout 1,38-39,17.8,Standard,On-Demand TV,None,None,No,Economy class,JetBlue Airways
1670,Airbus A320 (32M) Layout 2,32,18.4,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1671,Airbus A320 (32M) Layout 2,32,18.4,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1672,Airbus A320 (32M) Layout 2,38,18.4,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1673,Airbus A320 (32M) Layout 2,35,18.4,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1674,Airbus A321 (321) Non-Mint,32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1675,Airbus A321 (321) Non-Mint,32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1676,Airbus A321 (321) Non-Mint,32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1677,Airbus A321 (321) Non-Mint,37-41,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1678,Airbus A321 (321) Non-Mint,37-41,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1679,Airbus A321 (32S) Mint,33,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1680,Airbus A321 (32S) Mint,37-41,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1681,Airbus A321neo (3N1),32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1682,Airbus A321neo (3N1),32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1683,Airbus A321neo (3N1),35-38,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1684,Airbus A321neo (3N1),35-38,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,JetBlue Airways
1685,Embraer E-190 (E90),32,18.25,Standard,On-Demand TV,None,None,No,Economy class,JetBlue Airways
1686,Embraer E-190 (E90),39,18.25,Standard,On-Demand TV,None,None,No,Economy class,JetBlue Airways
1687,Airbus A321 (32S) Mint,58,20.5,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,JetBlue Airways
1688,Airbus A321 (32S) Mint,60,22.0,Closed Suite,On-Demand TV,All Seats,AC Power,No,Business class,JetBlue Airways
1689,Boeing 787-8 (788),30,17.0,Standard,Seatback TV,Some Seats,AC Power,No,Economy class,Jetstar
1690,Boeing 787-8 (788),38,19.0,Recliner,Seatback TV,All Seats,AC Power,No,Business class,Jetstar
1691,Airbus A320 (320) Layout 1,29,17.9,Standard,Portable Device,None,None,No,Economy class,Jetstar
1692,Airbus A320 (320) Layout 2,29,,Standard,Portable Device,None,None,No,Economy class,Jetstar
1693,Airbus A321 (321) Layout 1,29,17.8,Standard,None,None,None,No,Economy class,Jetstar
1694,Airbus A321 (321) Layout 2,28,18.0,Standard,None,None,None,No,Economy class,Jetstar
1695,Boeing 787-8 (788),32.2,18.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Kenya Airways
1696,Boeing 787-8 (788),74.0,31.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Kenya Airways
1697,Boeing 737-800 (738),32.0,17.0,Standard,Overhead TV,None,None,No,Economy class,Kenya Airways
1698,Embraer E-190,31.0,17.0,Standard,Seatback TV,None,None,No,Economy class,Kenya Airways
1699,Boeing 737-800 (738),47.0,17.0,Recliner,Overhead TV,None,None,No,Business class,Kenya Airways
1700,Embraer E-190,38.0,17.0,Recliner,Seatback TV,None,None,No,Business class,Kenya Airways
1701,Airbus A330-200 (332) Layout 1,31,17.5,Standard,On-Demand TV,None,None,No,Economy class,KLM
1702,Airbus A330-200 (332) Layout 1,35,17.5,Standard,On-Demand TV,None,None,No,Economy class,KLM
1703,Airbus A330-200 (332) Layout 2,31,17.5,Standard,On-Demand TV,None,None,No,Economy class,KLM
1704,Airbus A330-200 (332) Layout 2,35,17.5,Standard,On-Demand TV,None,None,No,Economy class,KLM
1705,Airbus A330-300 (333),31,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,KLM
1706,Airbus A330-300 (333),35,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,KLM
1707,Boeing 747-400 (744) Combi New Business,31,17.5,Standard,On-Demand TV,None,None,No,Economy class,KLM
1708,Boeing 747-400 (744) Combi New Business,35,17.5,Standard,On-Demand TV,None,None,No,Economy class,KLM
1709,Boeing 747-400 (744) New Business,31,17.5,Standard,Seatback TV,None,None,No,Economy class,KLM
1710,Boeing 747-400 (744) New Business,35,17.5,Standard,Seatback TV,None,None,No,Economy class,KLM
1711,Boeing 777-200ER (772),31,17.5,Standard,On-Demand TV,None,None,No,Economy class,KLM
1712,Boeing 777-200ER (772),35,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,KLM
1713,Boeing 777-300ER (77W),31,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,KLM
1714,Boeing 777-300ER (77W),34,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,KLM
1715,Boeing 787-10 (781),31,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,KLM
1716,Boeing 787-9 (789),31,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,KLM
1717,Boeing 787-9 (789),35,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,KLM
1718,Boeing 787-10 (781),35,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Premium Economy,KLM
1719,Airbus A330-200 (332) Layout 1,60,20.25,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1720,Airbus A330-200 (332) Layout 2,60,20.25,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1721,Airbus A330-300 (333),60,20.25,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1722,Boeing 747-400 (744) Combi New Business,63,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1723,Boeing 747-400 (744) Combi New Business,63,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1724,Boeing 747-400 (744) New Business,63,20.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,KLM
1725,Boeing 747-400 (744) New Business,63,20.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,KLM
1726,Boeing 777-200ER (772),63,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1727,Boeing 777-300ER (77W),63,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1728,Boeing 787-10 (781),60,20.25,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1729,Boeing 787-9 (789),42,20.25,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,KLM
1730,Boeing 737-700 (737),30,17.0,Standard,None,None,None,No,Economy class,KLM
1731,Boeing 737-700 (737),33,17.0,Standard,None,None,None,No,Economy class,KLM
1732,Boeing 737-800 (738),30,17.0,Standard,None,None,None,No,Economy class,KLM
1733,Boeing 737-800 (738),33,17.0,Standard,None,None,None,No,Economy class,KLM
1734,Boeing 737-900 (739),30,17.0,Standard,None,None,None,No,Economy class,KLM
1735,Boeing 737-900 (739),33,17.0,Standard,None,All Seats,AC Power,No,Economy class,KLM
1736,Embraer E-175,29,17.0,Standard,None,None,None,No,Economy class,KLM
1737,Embraer E-175,32,17.0,Standard,None,None,None,No,Economy class,KLM
1738,Embraer E-190,30,17.0,Standard,None,None,None,No,Economy class,KLM
1739,Embraer E-190,32,17.0,Standard,None,None,None,No,Economy class,KLM
1740,Boeing 737-700 (737),33,17.0,Standard,None,All Seats,AC Power,No,Business class,KLM
1741,Boeing 737-800 (738),33,17.0,Standard,None,All Seats,AC Power,No,Business class,KLM
1742,Boeing 737-900 (739),33,17.0,Standard,None,All Seats,AC Power,No,Business class,KLM
1743,Embraer E-175,32,17.0,Standard,None,None,None,No,Business class,KLM
1744,Embraer E-190,32,17.0,Standard,None,None,None,No,Business class,KLM
1745,Airbus A330-200 (332),32-33,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Korean Air
1746,Airbus A330-300 (333) Layout 1,32-33,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Korean Air
1747,Airbus A330-300 (333) Layout 2,33-34,18.1,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Korean Air
1748,Airbus A380-800 (388),33-34,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Korean Air
1749,Boeing 747-400 (744),32-34,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Korean Air
1750,Boeing 747-8 (74H),33-34,18.1,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Korean Air
1751,Boeing 777-200ER (772) Layout 1,33-34,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Korean Air
1752,Boeing 777-200ER (772) Layout 2,33-34,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Korean Air
1753,Boeing 777-300 (773),33-34,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Korean Air
1754,Boeing 777-300ER (77W) Layout 1,33-34,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Korean Air
1755,Boeing 777-300ER (77W) Layout 2,33-34,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Korean Air
1756,Boeing 787-9 (789),33-34,17.2,Standard,On-Demand TV,None,None,No,Economy class,Korean Air
1757,Airbus A330-200 (332),74,21.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1758,Airbus A330-300 (333) Layout 1,78-80,20.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1759,Airbus A330-300 (333) Layout 2,78-80,20.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1760,Airbus A380-800 (388),74,21.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1761,Boeing 747-400 (744),60,21.1,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1762,Boeing 747-8 (74H),75,20.1,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1763,Boeing 777-200ER (772) Layout 1,74,21.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1764,Boeing 777-200ER (772) Layout 2,60,21.6,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1765,Boeing 777-300 (773),74,21.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1766,Boeing 777-300ER (77W) Layout 1,75,20.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1767,Boeing 777-300ER (77W) Layout 2,74,20.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1768,Boeing 787-9 (789),75,20.8,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Korean Air
1769,Airbus A380-800 (388),83,26.5,Open Suite,On-Demand TV,All Seats,AC Power,No,First class,Korean Air
1770,Boeing 747-400 (744),83,21.6,Flat Bed,On-Demand TV,All Seats,AC Power,No,First class,Korean Air
